,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,470,9409_2_1.3T2,post,SPT,4,grid,1,0,2,2,5,4,1,-3,small single,A,0.001,6.5,6.509,6,1,1,9.531,3.024
1,2,486,9409_2_1.3T2,post,SPT,4,grid,1,0,2,7,8,14,1,-1,large single,B,12.503,5.7,18.214,6,1,1,21.388,3.177
2,3,502,9409_2_1.3T2,post,SPT,4,grid,1,0,2,18,0,19,2,1,small double,Control,24.207,4.3,28.522,6,2,1,30.512,1.994
3,4,492,9409_2_1.3T2,post,SPT,4,grid,1,0,2,15,9,22,1,-2,large double,B,34.532,4.0,38.51,6,2,0,43.269,4.761
4,5,488,9409_2_1.3T2,post,SPT,4,grid,1,0,2,3,15,21,2,3,small double,B,44.521,4.9,49.416,6,2,1,52.408,2.995
5,6,480,9409_2_1.3T2,post,SPT,4,grid,1,0,2,6,18,23,1,-1,large double,A,55.411,4.1,59.507,6,1,1,63.289,3.786
6,7,472,9409_2_1.3T2,post,SPT,4,grid,1,0,2,8,5,15,2,2,large single,A,65.5,7.6,73.109,6,2,1,77.498,4.392
7,8,498,9409_2_1.3T2,post,SPT,4,grid,1,0,2,10,0,7,1,-3,large single,Control,79.104,4.2,83.333,6,1,1,86.22,2.89
8,9,504,9409_2_1.3T2,post,SPT,4,grid,1,0,2,23,0,21,1,-2,large double,Control,89.328,4.4,93.725,6,1,1,96.313,2.591
9,10,490,9409_2_1.3T2,post,SPT,4,grid,1,0,2,16,4,22,2,2,small double,B,99.746,6.5,106.21,6,2,1,110.64,4.433
10,11,484,9409_2_1.3T2,post,SPT,4,grid,1,0,2,6,7,16,2,3,large single,B,112.204,7.6,119.814,6,2,1,124.405,4.594
11,12,474,9409_2_1.3T2,post,SPT,4,grid,1,0,2,9,6,14,1,-1,large single,A,125.821,7.0,132.801,6,2,0,137.789,4.991
12,13,494,9409_2_1.3T2,post,SPT,4,grid,1,0,2,3,0,4,2,1,small single,Control,138.811,5.6,144.422,6,2,1,146.675,2.255
13,14,500,9409_2_1.3T2,post,SPT,4,grid,1,0,2,15,0,18,2,3,small double,Control,150.435,7.5,157.926,6,2,1,160.55,2.627
14,15,478,9409_2_1.3T2,post,SPT,4,grid,1,0,2,7,13,19,1,-1,small double,A,163.926,7.6,171.512,6,1,1,176.435,4.926
15,16,482,9409_2_1.3T2,post,SPT,4,grid,1,0,2,4,3,8,2,1,small single,B,177.507,4.3,181.802,6,2,1,186.222,4.422
16,17,496,9409_2_1.3T2,post,SPT,4,grid,1,0,2,7,0,4,1,-3,small single,Control,187.83,4.4,192.228,6,1,1,196.593,4.367
17,18,476,9409_2_1.3T2,post,SPT,4,grid,1,0,2,12,6,20,2,2,small double,A,198.22,7.2,205.412,6,1,0,208.139,2.729
