,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,435,9409_2_1.3T2,post,SPT,4,sym,4,0,1,6,8,15,2,1,large single,A,0.001,6.5,6.507,6,2,1,10.592,4.088
1,2,455,9409_2_1.3T2,post,SPT,4,sym,4,0,1,19,8,28,2,1,large double,B,12.502,5.7,18.212,6,2,1,20.482,2.274
2,3,447,9409_2_1.3T2,post,SPT,4,sym,4,0,1,9,5,14,1,0,large single,B,24.207,4.3,28.503,6,1,1,30.156,1.658
3,4,461,9409_2_1.3T2,post,SPT,4,sym,4,0,1,11,0,11,1,0,large single,Control,34.513,4.0,38.539,6,1,1,39.745,1.21
4,5,453,9409_2_1.3T2,post,SPT,4,sym,4,0,1,3,19,21,2,-1,large double,B,44.538,4.9,49.415,6,1,0,52.65,3.24
5,6,433,9409_2_1.3T2,post,SPT,4,sym,4,0,1,4,2,6,1,0,small single,A,55.41,4.1,59.505,6,1,1,61.74,2.24
6,7,459,9409_2_1.3T2,post,SPT,4,sym,4,0,1,6,0,6,1,0,small single,Control,65.516,7.6,73.145,6,1,1,74.626,1.484
7,8,467,9409_2_1.3T2,post,SPT,4,sym,4,0,1,22,0,20,2,-2,large double,Control,79.14,4.2,83.354,6,2,1,84.533,1.183
8,9,439,9409_2_1.3T2,post,SPT,4,sym,4,0,1,3,16,21,2,2,small double,A,89.344,4.4,93.705,6,2,1,97.156,3.455
9,10,437,9409_2_1.3T2,post,SPT,4,sym,4,0,1,7,9,17,2,1,large single,A,99.715,6.5,106.209,6,2,1,110.793,4.589
10,11,449,9409_2_1.3T2,post,SPT,4,sym,4,0,1,9,8,17,1,0,large single,B,112.203,7.6,119.812,6,1,1,121.732,1.924
11,12,445,9409_2_1.3T2,post,SPT,4,sym,4,0,1,2,3,6,2,1,small single,B,125.806,7.0,132.816,6,2,1,134.586,1.775
12,13,441,9409_2_1.3T2,post,SPT,4,sym,4,0,1,15,7,19,2,-3,large double,A,138.81,5.6,144.404,6,2,1,148.705,4.305
13,14,457,9409_2_1.3T2,post,SPT,4,sym,4,0,1,2,0,1,2,-1,small single,Control,150.415,7.5,157.94,6,2,1,158.91,0.975
14,15,463,9409_2_1.3T2,post,SPT,4,sym,4,0,1,14,0,14,1,0,small double,Control,163.934,7.6,171.552,6,1,1,172.664,1.116
15,16,451,9409_2_1.3T2,post,SPT,4,sym,4,0,1,12,7,19,1,0,small double,B,177.542,4.3,181.801,6,2,0,184.636,2.839
16,17,465,9409_2_1.3T2,post,SPT,4,sym,4,0,1,19,0,19,1,0,small double,Control,187.812,4.4,192.247,6,1,1,193.509,1.267
17,18,443,9409_2_1.3T2,post,SPT,4,sym,4,0,1,9,17,26,1,0,large double,A,198.242,7.2,205.411,6,2,0,210.344,4.938
