,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,43,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,2,16,15,2,-3,small double,A,0.001,6.5,6.504,6,2,1,10.303,3.801
1,2,59,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,5,19,22,2,-2,large double,B,12.515,5.7,18.209,6,2,1,21.309,3.102
2,3,49,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,3,4,7,1,0,small single,B,24.203,4.3,28.515,6,1,1,30.0,1.487
3,4,71,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,23,0,20,2,-3,large double,Control,34.51,4.0,38.522,6,2,1,40.006,1.487
4,5,57,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,6,14,23,2,3,small double,B,44.533,4.9,49.412,6,2,1,53.36,3.951
5,6,39,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,5,8,13,1,0,large single,A,55.405,4.1,59.502,6,1,1,64.967,5.469
6,7,45,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,17,3,23,2,3,small double,A,65.513,7.6,73.104,6,2,1,76.987,3.884
7,8,63,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,7,0,8,2,1,small single,Control,79.115,4.2,83.328,6,2,1,84.762,1.436
8,9,69,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,18,0,18,1,0,small double,Control,89.322,4.4,93.718,6,1,1,95.551,1.835
9,10,55,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,13,5,18,1,0,small double,B,99.728,6.5,106.205,6,1,1,111.353,5.151
10,11,51,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,7,6,10,2,-3,large single,B,112.216,7.6,119.808,6,2,1,121.709,1.903
11,12,47,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,16,8,24,1,0,large double,A,125.803,7.0,132.812,6,1,1,136.811,4.001
12,13,67,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,15,0,15,1,0,small double,Control,138.806,5.6,144.417,6,1,1,146.601,2.186
13,14,61,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,3,0,3,1,0,small single,Control,150.437,7.5,157.92,6,1,1,159.305,1.388
14,15,41,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,6,9,13,2,-2,large single,A,163.931,7.6,171.507,6,2,1,175.706,4.201
15,16,37,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,5,2,7,1,0,small single,A,177.502,4.3,181.814,6,1,1,184.048,2.236
16,17,53,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,8,7,13,2,-2,large single,B,187.808,4.4,192.204,6,2,1,197.867,5.666
17,18,65,9228_1_1.3T2,pre,VNT,1,sym,3,0,2,10,0,10,1,0,large single,Control,198.215,7.2,205.424,6,1,1,206.991,1.57
