,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,75,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,4,5,9,1,0,small single,A,0.001,6.5,6.513,6,1,1,8.446,1.936
1,2,89,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,4,8,12,1,0,large single,B,12.507,5.7,18.202,6,1,1,20.452,2.252
2,3,101,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,12,0,10,2,-2,large single,Control,24.213,4.3,28.546,6,2,1,30.575,2.031
3,4,95,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,17,8,28,2,3,large double,B,34.519,4.0,38.515,6,,,,
4,5,87,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,8,2,9,2,-1,small single,B,44.509,4.9,49.404,6,2,1,51.804,2.402
5,6,81,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,14,9,23,1,0,large double,A,55.415,4.1,59.511,6,1,1,63.909,4.4
6,7,99,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,9,0,11,2,2,large single,Control,65.505,7.6,73.13,6,2,1,74.765,1.637
7,8,107,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,24,0,24,1,0,large double,Control,79.129,4.2,83.331,6,1,1,84.621,1.293
8,9,79,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,4,12,16,1,0,small double,A,89.331,4.4,93.711,6,1,1,96.127,2.419
9,10,73,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,2,6,10,2,2,small single,A,99.705,6.5,106.215,6,2,1,108.715,2.503
10,11,85,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,5,3,11,2,3,small single,B,112.209,7.6,119.803,6,2,1,121.569,1.769
11,12,91,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,13,2,15,1,0,small double,B,125.813,7.0,132.806,6,1,1,135.305,2.502
12,13,103,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,17,0,16,2,-1,small double,Control,138.816,5.6,144.427,6,2,1,146.243,1.819
13,14,105,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,20,0,20,1,0,large double,Control,150.421,7.5,157.93,6,1,1,159.448,1.52
14,15,83,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,6,19,22,2,-3,large double,A,163.927,7.6,171.5,6,2,1,174.916,3.418
15,16,77,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,9,4,10,2,-3,large single,A,177.512,4.3,181.807,6,2,1,184.74,2.935
16,17,97,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,4,0,4,1,0,small single,Control,187.801,4.4,192.233,6,1,1,193.864,1.633
17,18,93,9194_1_1.3T2,pre,SPT,1,sym,3,0,3,4,18,22,1,0,large double,B,198.225,7.2,205.401,6,1,1,210.631,5.232
