,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,42,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,6,9,14,1,-1,large single,A,0.001,6.5,6.512,6,2,0,12.322,5.813
1,2,52,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,7,6,12,1,-1,large single,B,12.506,5.7,18.217,6,1,1,22.123,3.908
2,3,70,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,18,0,15,1,-3,small double,Control,24.229,4.3,28.529,6,1,1,32.213,3.687
3,4,50,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,3,4,9,2,2,small single,B,34.519,4.0,38.513,6,,,,
4,5,54,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,8,7,14,1,-1,large single,B,44.508,4.9,49.403,6,1,1,55.292,5.892
5,6,38,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,5,2,9,2,2,small single,A,55.413,4.1,59.51,6,2,1,62.733,3.226
6,7,40,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,5,8,11,1,-2,large single,A,65.504,7.6,73.112,6,2,0,78.484,5.375
7,8,72,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,23,0,26,2,3,large double,Control,79.107,4.2,83.319,6,2,1,85.792,2.476
8,9,64,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,7,0,10,2,3,small single,Control,89.33,4.4,93.726,6,2,1,95.731,2.008
9,10,56,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,13,5,20,2,2,small double,B,99.719,6.5,106.213,6,2,1,112.136,5.926
10,11,60,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,5,19,22,1,-2,large double,B,112.222,7.6,119.816,6,2,0,124.858,5.045
11,12,48,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,16,8,26,2,2,large double,A,125.811,7.0,132.804,6,,,,
12,13,68,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,15,0,16,2,1,small double,Control,138.815,5.6,144.426,6,2,1,146.182,1.76
13,14,66,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,10,0,9,1,-1,large single,Control,150.427,7.5,157.928,6,1,1,159.434,1.509
14,15,44,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,2,16,15,1,-3,small double,A,163.925,7.6,171.515,6,1,1,174.857,3.344
15,16,58,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,6,14,22,2,2,small double,B,177.51,4.3,181.806,6,2,1,186.363,4.561
16,17,62,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,3,0,5,2,2,small single,Control,187.83,4.4,192.227,6,2,1,194.281,2.056
17,18,46,9228_1_1.3T2,pre,VNT,1,grid,3,0,2,17,3,19,1,-1,small double,A,198.222,7.2,205.415,6,1,1,208.678,3.266
