,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,80,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,4,12,15,1,-1,small double,A,0.001,6.5,6.507,6,1,1,9.431,2.928
1,2,90,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,4,8,13,2,1,large single,B,12.5,5.7,18.212,6,2,1,21.035,2.825
2,3,96,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,17,8,23,1,-2,large double,B,24.206,4.3,28.502,6,1,1,32.394,3.894
3,4,108,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,24,0,25,2,1,large double,Control,34.513,4.0,38.525,6,2,1,41.367,2.846
4,5,92,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,13,2,14,1,-1,small double,B,44.517,4.9,49.415,6,1,1,53.304,3.892
5,6,76,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,4,5,6,1,-3,small single,A,55.408,4.1,59.505,6,1,1,62.442,2.939
6,7,100,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,9,0,7,1,-2,large single,Control,65.515,7.6,73.145,6,1,1,75.395,2.253
7,8,104,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,17,0,19,2,2,small double,Control,79.117,4.2,83.33,6,2,1,85.689,2.361
8,9,84,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,6,19,28,2,3,large double,A,89.326,4.4,93.705,6,2,1,97.564,3.862
9,10,74,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,2,6,7,1,-1,small single,A,99.715,6.5,106.209,6,1,1,109.297,3.09
10,11,86,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,5,3,10,2,2,small single,B,112.203,7.6,119.812,6,2,1,123.034,3.224
11,12,94,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,4,18,23,2,1,large double,B,125.806,7.0,132.815,6,1,0,135.742,2.929
12,13,102,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,12,0,10,1,-2,large single,Control,138.826,5.6,144.42,6,1,1,146.377,1.96
13,14,88,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,8,2,7,1,-3,small single,B,150.432,7.5,157.908,6,1,1,161.395,3.489
14,15,78,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,9,4,16,2,3,large single,A,163.902,7.6,171.511,6,2,1,173.686,2.179
15,16,82,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,14,9,25,2,2,large double,A,177.503,4.3,181.801,6,2,1,183.478,1.679
16,17,106,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,20,0,19,1,-1,large double,Control,187.812,4.4,192.231,6,1,1,194.215,1.987
17,18,98,9063_1_1.3T2,pre,NCC,1,grid,1,0,3,4,0,7,2,3,small single,Control,198.218,7.2,205.431,6,2,1,207.547,2.119
