,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,553,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,7,2,9,1,0,small single,B,0.001,6.5,6.509,6,1,1,7.961,1.454
1,2,563,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,6,17,23,1,0,large double,B,12.503,5.4,17.914,6,1,1,19.915,2.003
2,3,549,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,15,4,18,2,-1,small double,A,23.908,4.4,28.304,6,2,1,30.221,1.92
3,4,567,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,8,0,8,1,0,large single,Control,34.314,5.0,39.347,6,2,0,41.027,1.682
4,5,557,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,3,9,14,2,2,large single,B,45.322,7.6,52.913,6,2,1,55.231,2.321
5,6,565,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,5,0,5,1,0,small single,Control,58.907,8.0,66.933,6,1,1,69.499,2.568
6,7,573,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,21,0,18,2,-3,large double,Control,72.957,4.1,77.035,6,2,1,79.639,2.606
7,8,559,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,13,4,14,2,-3,small double,B,83.034,4.1,87.113,6,2,1,92.044,4.934
8,9,569,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,13,0,14,2,1,large single,Control,93.107,7.4,100.534,6,2,1,102.782,2.251
9,10,547,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,2,15,17,1,0,small double,A,106.528,6.9,113.404,6,1,1,115.57,2.169
10,11,555,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,6,4,10,1,0,small single,B,119.415,7.1,126.507,6,1,1,129.124,2.619
11,12,551,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,15,8,25,2,2,large double,A,132.501,5.2,137.714,6,2,1,141.129,3.418
12,13,543,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,3,7,10,1,0,small single,A,143.707,4.3,148.003,6,1,1,150.436,2.436
13,14,561,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,8,12,20,1,0,small double,B,154.013,4.7,158.709,6,1,1,161.575,2.869
14,15,571,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,16,0,14,2,-2,small double,Control,164.703,4.3,169.059,6,2,1,171.699,2.643
15,16,541,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,3,6,8,2,-1,small single,A,175.027,7.1,182.103,6,2,1,184.704,2.604
16,17,545,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,7,5,12,1,0,large single,A,188.113,5.2,193.308,6,1,1,195.808,2.503
17,18,575,9181_1_1.3T2,pre,VNT,4,sym,4,0,4,25,0,26,2,1,large double,Control,199.303,4.3,203.637,6,2,1,207.03,3.395
