,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,223,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,12,4,16,1,0,small double,A,0.001,6.5,6.501,6,1,1,9.117,2.619
1,2,231,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,2,8,13,2,3,small single,B,12.511,5.7,18.205,6,2,1,20.139,1.937
2,3,251,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,24,0,24,1,0,large double,Control,24.216,4.3,28.53,6,1,1,29.663,1.135
3,4,235,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,2,13,17,2,2,small double,B,34.523,4.0,38.502,6,2,1,42.584,4.084
4,5,233,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,8,4,12,1,0,large single,B,44.513,4.9,49.408,6,1,1,51.408,2.003
5,6,221,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,4,9,13,1,0,large single,A,55.402,4.1,59.515,6,1,1,61.682,2.17
6,7,247,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,17,0,15,2,-2,small double,Control,65.509,7.6,73.128,6,2,1,75.071,1.947
7,8,245,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,12,0,12,1,0,large single,Control,79.153,4.2,83.349,6,1,1,85.076,1.732
8,9,217,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,6,2,10,2,2,small single,A,89.358,4.4,93.715,6,2,1,96.5,2.79
9,10,227,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,19,6,28,2,3,large double,A,99.709,6.5,106.202,6,2,1,108.753,2.556
10,11,237,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,18,4,24,2,2,large double,B,112.213,7.6,119.805,6,2,1,124.489,4.688
11,12,229,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,3,5,8,1,0,small single,B,125.816,7.0,132.809,6,1,1,135.841,3.036
12,13,249,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,20,0,18,2,-2,large double,Control,138.803,5.6,144.437,6,2,1,146.231,1.796
13,14,243,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,9,0,12,2,3,large single,Control,150.43,7.5,157.934,6,2,1,159.403,1.475
14,15,219,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,5,4,9,1,0,small single,A,163.934,7.6,171.504,6,1,1,174.038,2.536
15,16,225,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,9,14,23,1,0,large double,A,177.515,4.3,181.811,6,2,0,184.611,2.804
16,17,241,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,4,0,7,2,3,small single,Control,187.805,4.4,192.229,6,2,1,193.867,1.641
17,18,239,9409_1_1.3T2,pre,SPT,2,sym,2,1,3,8,17,25,1,0,large double,B,198.229,7.2,205.404,6,2,0,209.521,4.12
