,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,110,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,6,3,8,1,-1,small single,A,0.001,6.5,6.513,6,1,1,8.868,2.357
1,2,128,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,3,14,20,2,3,small double,B,12.507,5.7,18.202,6,2,1,21.31,3.111
2,3,136,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,8,0,9,2,1,large single,Control,24.212,4.3,28.539,6,2,1,30.345,1.809
3,4,124,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,4,6,7,1,-3,small single,B,34.518,4.0,38.515,6,1,1,41.219,2.707
4,5,122,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,2,7,11,2,2,small single,B,44.509,4.9,49.404,6,2,1,52.576,3.174
5,6,120,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,5,18,20,1,-3,large double,A,55.415,4.1,59.511,6,1,1,61.803,2.295
6,7,142,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,21,0,18,1,-3,large double,Control,65.521,7.6,73.137,6,1,1,74.972,1.838
7,8,138,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,13,0,16,2,3,large single,Control,79.125,4.2,83.336,6,2,1,84.561,1.228
8,9,114,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,5,7,9,1,-3,large single,A,89.33,4.4,93.71,6,1,1,96.2,2.493
9,10,116,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,12,5,18,2,1,small double,A,99.704,6.5,106.214,6,2,1,108.458,2.246
10,11,126,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,9,3,11,1,-1,large single,B,112.208,7.6,119.801,6,2,0,124.389,4.591
11,12,112,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,7,3,11,2,1,small single,A,125.812,7.0,132.805,6,2,1,137.593,4.79
12,13,144,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,25,0,24,1,-1,large double,Control,138.816,5.6,144.426,6,1,1,146.274,1.851
13,14,140,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,16,0,18,2,2,small double,Control,150.427,7.5,157.929,6,2,1,159.822,1.895
14,15,132,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,16,7,21,1,-2,large double,B,163.925,7.6,171.517,6,2,0,173.942,2.428
15,16,130,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,18,2,21,2,1,small double,B,177.511,4.3,181.807,6,2,1,184.161,2.357
16,17,134,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,5,0,4,1,-1,small single,Control,187.801,4.4,192.229,6,1,1,194.033,1.806
17,18,118,9063_1_1.3T2,pre,NCC,1,grid,2,0,4,5,14,20,2,1,small double,A,198.223,7.2,205.417,6,2,1,206.508,1.094
