,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,80,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,4,12,15,1,-1,small double,A,0.001,6.5,6.506,6,2,0,9.418,2.915
1,2,90,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,4,8,13,2,1,large single,B,12.501,5.7,18.211,6,2,1,22.449,4.241
2,3,96,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,17,8,23,1,-2,large double,B,24.205,4.3,28.501,6,,,,
3,4,108,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,24,0,25,2,1,large double,Control,34.529,4.0,38.524,6,2,1,40.601,2.08
4,5,92,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,13,2,14,1,-1,small double,B,44.517,4.9,49.414,6,1,1,53.007,3.596
5,6,76,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,4,5,6,1,-3,small single,A,55.408,4.1,59.504,6,1,1,62.825,3.324
6,7,100,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,9,0,7,1,-2,large single,Control,65.515,7.6,73.124,6,1,1,74.961,1.84
7,8,104,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,17,0,19,2,2,small double,Control,79.117,4.2,83.329,6,2,1,86.737,3.41
8,9,84,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,6,19,28,2,3,large double,A,89.325,4.4,93.703,6,2,1,98.912,5.211
9,10,74,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,2,6,7,1,-1,small single,A,99.731,6.5,106.208,6,1,1,110.545,4.34
10,11,86,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,5,3,10,2,2,small single,B,112.202,7.6,119.811,6,2,1,124.398,4.589
11,12,94,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,4,18,23,2,1,large double,B,125.805,7.0,132.815,6,2,1,138.231,5.419
12,13,102,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,12,0,10,1,-2,large single,Control,138.825,5.6,144.423,6,1,1,146.692,2.272
13,14,88,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,8,2,7,1,-3,small single,B,150.43,7.5,157.906,6,1,1,161.944,4.04
14,15,78,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,9,4,16,2,3,large single,A,163.917,7.6,171.51,6,,,,
15,16,82,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,14,9,25,2,2,large double,A,177.504,4.3,181.816,6,,,,
16,17,106,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,20,0,19,1,-1,large double,Control,187.827,4.4,192.227,6,1,1,196.629,4.405
17,18,98,9228_1_1.3T2,pre,VNT,1,grid,1,0,3,4,0,7,2,3,small single,Control,198.234,7.2,205.426,6,2,1,206.897,1.474
