,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,129,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,18,2,22,2,2,small double,B,0.001,6.5,6.506,6,2,1,8.789,2.286
1,2,121,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,2,7,8,2,-1,small single,B,12.516,5.4,17.911,6,2,1,20.362,2.453
2,3,113,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,5,7,12,1,0,large single,A,23.905,4.4,28.301,6,1,1,33.215,4.917
3,4,143,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,25,0,22,2,-3,large double,Control,34.311,5.0,39.332,6,2,1,40.923,1.594
4,5,127,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,3,14,17,1,0,small double,B,45.317,7.6,52.91,6,1,1,55.56,2.652
5,6,137,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,13,0,13,1,0,large single,Control,58.904,8.0,66.929,6,1,1,68.164,1.238
6,7,135,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,8,0,10,2,2,large single,Control,72.93,4.1,77.019,6,2,1,81.968,4.954
7,8,123,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,4,6,10,1,0,small single,B,83.03,4.1,87.11,6,1,1,88.794,1.687
8,9,139,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,16,0,16,1,0,small double,Control,93.104,7.4,100.529,6,1,1,102.03,1.503
9,10,111,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,7,3,12,2,2,small single,A,106.523,6.9,113.417,6,2,1,116.166,2.752
10,11,125,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,9,3,12,1,0,large single,B,119.411,7.1,126.504,6,1,1,128.987,2.486
11,12,109,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,6,3,9,1,0,small single,A,132.515,5.2,137.709,6,1,1,139.21,1.503
12,13,117,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,5,14,22,2,3,small double,A,143.704,4.3,148.016,6,2,1,150.866,2.852
13,14,131,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,16,7,25,2,2,large double,B,154.01,4.7,158.705,6,,,,
14,15,133,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,5,0,6,2,1,small single,Control,164.716,4.3,169.029,6,2,1,170.279,1.252
15,16,115,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,12,5,17,1,0,small double,A,175.021,7.1,182.115,6,1,1,184.132,2.02
16,17,119,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,5,18,24,2,1,large double,A,188.11,5.2,193.304,6,2,1,196.937,3.635
17,18,141,9228_1_1.3T2,pre,VNT,1,sym,4,0,4,21,0,21,1,0,large double,Control,199.315,4.3,203.627,6,1,1,204.912,1.287
