,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,147,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,6,8,14,1,0,large single,A,0.001,6.5,6.504,6,1,1,8.736,2.235
1,2,167,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,18,9,27,1,0,large double,B,12.514,5.7,18.209,6,2,0,21.459,3.254
2,3,161,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,9,8,20,2,3,large single,B,24.203,4.3,28.515,6,2,1,31.415,2.903
3,4,175,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,14,0,13,2,-1,small double,Control,34.509,4.0,38.522,6,2,1,40.039,1.519
4,5,157,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,2,3,5,1,0,small single,B,44.533,4.9,49.411,6,2,0,51.594,2.186
5,6,151,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,6,13,19,1,0,small double,A,55.405,4.1,59.501,6,1,1,64.216,4.717
6,7,179,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,22,0,22,1,0,large double,Control,65.512,7.6,73.128,6,1,1,74.838,1.714
7,8,171,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,6,0,3,2,-3,small single,Control,79.132,4.2,83.331,6,2,1,85.544,2.217
8,9,145,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,4,2,5,2,-1,small single,A,89.335,4.4,93.701,6,2,1,95.685,1.987
9,10,153,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,17,5,22,1,0,large double,A,99.711,6.5,106.205,6,1,1,110.053,3.852
10,11,159,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,9,5,17,2,3,large single,B,112.216,7.6,119.808,6,2,1,123.874,4.068
11,12,163,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,17,2,21,2,2,small double,B,125.803,7.0,132.812,6,2,1,135.395,2.586
12,13,149,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,7,9,16,1,0,large single,A,138.806,5.6,144.401,6,2,0,148.316,3.918
13,14,169,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,2,0,2,1,0,small single,Control,150.412,7.5,157.921,6,1,1,160.137,2.218
14,15,177,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,19,0,17,2,-2,small double,Control,163.938,7.6,171.525,6,2,1,173.141,1.618
15,16,165,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,9,13,22,1,0,large double,B,177.519,4.3,181.814,6,2,0,185.296,3.485
16,17,173,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,11,0,12,2,1,large single,Control,187.808,4.4,192.221,6,2,1,196.185,3.966
17,18,155,9409_1_1.3T2,pre,SPT,2,sym,4,1,1,7,19,27,2,1,large double,A,198.231,7.2,205.407,6,2,1,209.722,4.317
