,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,43,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,2,16,15,2,-3,small double,A,0.001,6.5,6.504,6,2,1,9.487,2.985
1,2,59,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,5,19,22,2,-2,large double,B,12.515,5.7,18.21,6,2,1,21.925,3.718
2,3,49,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,3,4,7,1,0,small single,B,24.204,4.3,28.517,6,1,1,30.133,1.619
3,4,71,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,23,0,20,2,-3,large double,Control,34.51,4.0,38.522,6,2,1,41.338,2.818
4,5,57,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,6,14,23,2,3,small double,B,44.54,4.9,49.413,6,2,1,54.061,4.65
5,6,39,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,5,8,13,1,0,large single,A,55.407,4.1,59.502,6,1,1,61.885,2.385
6,7,45,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,17,3,23,2,3,small double,A,65.513,7.6,73.106,6,2,1,76.522,3.42
7,8,63,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,7,0,8,2,1,small single,Control,79.116,4.2,83.361,6,2,1,85.062,1.703
8,9,69,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,18,0,18,1,0,small double,Control,89.329,4.4,93.718,6,1,1,95.435,1.72
9,10,55,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,13,5,18,1,0,small double,B,99.729,6.5,106.206,6,1,1,109.006,2.802
10,11,51,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,7,6,10,2,-3,large single,B,112.201,7.6,119.81,6,2,1,122.626,2.818
11,12,47,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,16,8,24,1,0,large double,A,125.804,7.0,132.814,6,1,1,135.713,2.901
12,13,67,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,15,0,15,1,0,small double,Control,138.808,5.6,144.418,6,1,1,146.285,1.869
13,14,61,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,3,0,3,1,0,small single,Control,150.428,7.5,157.94,6,1,1,159.439,1.501
14,15,41,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,6,9,13,2,-2,large single,A,163.932,7.6,171.51,6,1,0,175.724,4.216
15,16,37,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,5,2,7,1,0,small single,A,177.503,4.3,181.815,6,1,1,183.399,1.587
16,17,53,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,8,7,13,2,-2,large single,B,187.809,4.4,192.205,6,1,0,194.754,2.551
17,18,65,9063_1_1.3T2,pre,NCC,1,sym,1,0,2,10,0,10,1,0,large single,Control,198.216,7.2,205.425,6,1,1,207.275,1.853
