,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,147,9409_2_1.3T2,post,SPT,2,sym,4,1,1,6,8,14,1,0,large single,A,0.001,6.5,6.503,6,1,1,10.135,3.635
1,2,167,9409_2_1.3T2,post,SPT,2,sym,4,1,1,18,9,27,1,0,large double,B,12.514,5.7,18.208,6,1,1,21.008,2.803
2,3,161,9409_2_1.3T2,post,SPT,2,sym,4,1,1,9,8,20,2,3,large single,B,24.202,4.3,28.514,6,2,1,31.78,3.268
3,4,175,9409_2_1.3T2,post,SPT,2,sym,4,1,1,14,0,13,2,-1,small double,Control,34.509,4.0,38.521,6,2,1,40.771,2.252
4,5,157,9409_2_1.3T2,post,SPT,2,sym,4,1,1,2,3,5,1,0,small single,B,44.532,4.9,49.41,6,1,1,50.83,1.423
5,6,151,9409_2_1.3T2,post,SPT,2,sym,4,1,1,6,13,19,1,0,small double,A,55.404,4.1,59.5,6,1,1,63.483,3.985
6,7,179,9409_2_1.3T2,post,SPT,2,sym,4,1,1,22,0,22,1,0,large double,Control,65.511,7.6,73.12,6,1,1,74.405,1.288
7,8,171,9409_2_1.3T2,post,SPT,2,sym,4,1,1,6,0,3,2,-3,small single,Control,79.131,4.2,83.327,6,2,1,84.744,1.42
8,9,145,9409_2_1.3T2,post,SPT,2,sym,4,1,1,4,2,5,2,-1,small single,A,89.322,4.4,93.717,6,2,1,96.617,2.903
9,10,153,9409_2_1.3T2,post,SPT,2,sym,4,1,1,17,5,22,1,0,large double,A,99.711,6.5,106.204,6,2,0,110.836,4.634
10,11,159,9409_2_1.3T2,post,SPT,2,sym,4,1,1,9,5,17,2,3,large single,B,112.215,7.6,119.807,6,2,1,124.623,4.818
11,12,163,9409_2_1.3T2,post,SPT,2,sym,4,1,1,17,2,21,2,2,small double,B,125.802,7.0,132.811,6,2,1,135.346,2.538
12,13,149,9409_2_1.3T2,post,SPT,2,sym,4,1,1,7,9,16,1,0,large single,A,138.806,5.6,144.416,6,1,1,150.13,5.717
13,14,169,9409_2_1.3T2,post,SPT,2,sym,4,1,1,2,0,2,1,0,small single,Control,150.411,7.5,157.92,6,1,1,159.304,1.386
14,15,177,9409_2_1.3T2,post,SPT,2,sym,4,1,1,19,0,17,2,-2,small double,Control,163.93,7.6,171.523,6,2,1,173.657,2.136
15,16,165,9409_2_1.3T2,post,SPT,2,sym,4,1,1,9,13,22,1,0,large double,B,177.518,4.3,181.813,6,1,1,184.829,3.019
16,17,173,9409_2_1.3T2,post,SPT,2,sym,4,1,1,11,0,12,2,1,large single,Control,187.807,4.4,192.22,6,2,1,194.136,1.918
17,18,155,9409_2_1.3T2,post,SPT,2,sym,4,1,1,7,19,27,2,1,large double,A,198.23,7.2,205.406,6,2,1,208.855,3.452
