,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,187,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,16,2,15,2,-3,small double,A,0.001,6.5,6.506,6,2,1,8.64,2.136
1,2,201,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,14,6,21,2,1,small double,B,12.501,5.7,18.211,6,2,1,20.511,2.302
2,3,195,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,6,7,15,2,2,large single,B,24.206,4.3,28.501,6,1,0,32.067,3.569
3,4,211,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,15,0,15,1,0,small double,Control,34.512,4.0,38.526,6,1,1,39.693,1.17
4,5,197,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,7,8,15,1,0,large single,B,44.521,4.9,49.414,6,1,1,52.814,3.402
5,6,191,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,8,16,24,1,0,large double,A,55.408,4.1,59.504,6,2,0,64.686,5.186
6,7,183,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,8,5,14,2,1,large single,A,65.515,7.6,73.107,6,2,1,77.389,4.284
7,8,205,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,3,0,3,1,0,small single,Control,79.102,4.2,83.335,6,1,1,84.431,1.098
8,9,207,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,7,0,7,1,0,small single,Control,89.326,4.4,93.721,6,1,1,94.688,0.97
9,10,203,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,19,5,25,2,1,large double,B,99.732,6.5,106.208,6,2,1,108.409,2.204
10,11,193,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,4,3,7,1,0,small single,B,112.203,7.6,119.811,6,1,1,122.994,3.185
11,12,189,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,3,17,19,2,-1,small double,A,125.805,7.0,132.815,6,2,1,136.53,3.718
12,13,209,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,10,0,11,2,1,large single,Control,138.809,5.6,144.425,6,2,1,146.287,1.864
13,14,215,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,23,0,21,2,-2,large double,Control,150.432,7.5,157.926,6,2,1,160.206,2.283
14,15,185,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,9,6,15,1,0,large single,A,163.918,7.6,171.51,6,1,1,175.358,3.851
15,16,181,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,2,5,7,1,0,small single,A,177.504,4.3,181.8,6,1,1,185.1,3.303
16,17,199,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,5,13,17,2,-1,small double,B,187.811,4.4,192.207,6,1,0,196.755,4.551
17,18,213,9409_1_1.3T2,pre,SPT,2,sym,3,1,2,18,0,18,1,0,small double,Control,198.201,7.2,205.431,6,1,1,206.561,1.132
