,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,75,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,4,5,9,1,0,small single,A,0.006,6.5,6.512,6,1,1,10.063,3.557
1,2,89,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,4,8,12,1,0,large single,B,12.506,5.7,18.218,6,1,1,21.251,3.037
2,3,101,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,12,0,10,2,-2,large single,Control,24.211,4.3,28.546,6,2,1,31.573,3.032
3,4,95,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,17,8,28,2,3,large double,B,34.539,4.0,38.513,6,,,,
4,5,87,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,8,2,9,2,-1,small single,B,44.508,4.9,49.402,6,2,1,52.371,2.973
5,6,81,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,14,9,23,1,0,large double,A,55.416,4.1,59.54,6,2,0,64.575,5.04
6,7,99,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,9,0,11,2,2,large single,Control,65.504,7.6,73.14,6,2,1,75.98,2.844
7,8,107,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,24,0,24,1,0,large double,Control,79.153,4.2,83.353,6,1,1,85.67,2.321
8,9,79,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,4,12,16,1,0,small double,A,89.368,4.4,93.709,6,1,1,97.558,3.87
9,10,73,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,2,6,10,2,2,small single,A,99.703,6.5,106.213,6,2,1,109.399,3.19
10,11,85,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,5,3,11,2,3,small single,B,112.207,7.6,119.817,6,2,1,122.985,3.204
11,12,91,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,13,2,15,1,0,small double,B,125.811,7.0,132.804,6,1,1,137.371,4.572
12,13,103,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,17,0,16,2,-1,small double,Control,138.815,5.6,144.457,6,2,1,147.692,3.239
13,14,105,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,20,0,20,1,0,large double,Control,150.44,7.5,157.961,6,1,1,159.747,1.79
14,15,83,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,6,19,22,2,-3,large double,A,163.953,7.6,171.516,6,,,,
15,16,77,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,9,4,10,2,-3,large single,A,177.51,4.3,181.805,6,2,1,185.122,3.321
16,17,97,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,4,0,4,1,0,small single,Control,187.816,4.4,192.254,6,1,1,195.046,2.796
17,18,93,9405_1_1.3T2,pre,SPT,1,sym,1,0,3,4,18,22,1,0,large double,B,198.23,7.2,205.416,6,1,1,210.932,5.521
