,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,110,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,6,3,8,1,-1,small single,A,0.001,6.5,6.509,6,1,1,10.163,3.657
1,2,128,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,3,14,20,2,3,small double,B,12.503,5.7,18.213,6,2,1,20.823,2.612
2,3,136,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,8,0,9,2,1,large single,Control,24.225,4.3,28.52,6,2,1,31.376,2.858
3,4,124,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,4,6,7,1,-3,small single,B,34.531,4.0,38.511,6,2,0,43.663,5.155
4,5,122,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,2,7,11,2,2,small single,B,44.504,4.9,49.416,6,2,1,53.272,3.859
5,6,120,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,5,18,20,1,-3,large double,A,55.41,4.1,59.507,6,1,1,64.263,4.759
6,7,142,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,21,0,18,1,-3,large double,Control,65.517,7.6,73.149,6,1,1,75.617,2.471
7,8,138,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,13,0,16,2,3,large single,Control,79.12,4.2,83.334,6,2,1,85.905,2.574
8,9,114,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,5,7,9,1,-3,large single,A,89.327,4.4,93.706,6,1,1,97.71,4.007
9,10,116,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,12,5,18,2,1,small double,A,99.717,6.5,106.211,6,,,,
10,11,126,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,9,3,11,1,-1,large single,B,112.204,7.6,119.813,6,1,1,123.602,3.792
11,12,112,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,7,3,11,2,1,small single,A,125.808,7.0,132.801,6,2,1,136.122,3.324
12,13,144,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,25,0,24,1,-1,large double,Control,138.812,5.6,144.438,6,1,1,147.431,2.996
13,14,140,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,16,0,18,2,2,small double,Control,150.434,7.5,157.926,6,2,1,161.798,3.875
14,15,132,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,16,7,21,1,-2,large double,B,163.921,7.6,171.513,6,,,,
15,16,130,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,18,2,21,2,1,small double,B,177.523,4.3,181.802,6,2,1,185.694,3.894
16,17,134,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,5,0,4,1,-1,small single,Control,187.83,4.4,192.225,6,1,1,195.327,3.105
17,18,118,9194_1_1.3T2,pre,SPT,1,grid,1,0,4,5,14,20,2,1,small double,A,198.219,7.2,205.413,6,2,1,209.238,3.828
