,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,223,9409_2_1.3T2,post,SPT,2,sym,2,1,3,12,4,16,1,0,small double,A,0.001,6.5,6.509,6,1,1,10.775,4.268
1,2,231,9409_2_1.3T2,post,SPT,2,sym,2,1,3,2,8,13,2,3,small single,B,12.504,5.7,18.215,6,2,1,20.432,2.22
2,3,251,9409_2_1.3T2,post,SPT,2,sym,2,1,3,24,0,24,1,0,large double,Control,24.209,4.3,28.521,6,1,1,30.072,1.553
3,4,235,9409_2_1.3T2,post,SPT,2,sym,2,1,3,2,13,17,2,2,small double,B,34.533,4.0,38.512,6,2,1,41.445,2.935
4,5,233,9409_2_1.3T2,post,SPT,2,sym,2,1,3,8,4,12,1,0,large single,B,44.506,4.9,49.401,6,1,1,53.316,3.917
5,6,221,9409_2_1.3T2,post,SPT,2,sym,2,1,3,4,9,13,1,0,large single,A,55.412,4.1,59.507,6,1,1,62.524,3.019
6,7,247,9409_2_1.3T2,post,SPT,2,sym,2,1,3,17,0,15,2,-2,small double,Control,65.502,7.6,73.127,6,2,1,74.713,1.589
7,8,245,9409_2_1.3T2,post,SPT,2,sym,2,1,3,12,0,12,1,0,large single,Control,79.122,4.2,83.317,6,1,1,84.652,1.336
8,9,217,9409_2_1.3T2,post,SPT,2,sym,2,1,3,6,2,10,2,2,small single,A,89.333,4.4,93.707,6,2,1,96.125,2.421
9,10,227,9409_2_1.3T2,post,SPT,2,sym,2,1,3,19,6,28,2,3,large double,A,99.701,6.5,106.211,6,2,1,108.564,2.357
10,11,237,9409_2_1.3T2,post,SPT,2,sym,2,1,3,18,4,24,2,2,large double,B,112.205,7.6,119.815,6,2,1,123.13,3.318
11,12,229,9409_2_1.3T2,post,SPT,2,sym,2,1,3,3,5,8,1,0,small single,B,125.809,7.0,132.802,6,1,1,136.651,3.851
12,13,249,9409_2_1.3T2,post,SPT,2,sym,2,1,3,20,0,18,2,-2,large double,Control,138.812,5.6,144.423,6,2,1,146.357,1.936
13,14,243,9409_2_1.3T2,post,SPT,2,sym,2,1,3,9,0,12,2,3,large single,Control,150.418,7.5,157.927,6,2,1,159.644,1.72
14,15,219,9409_2_1.3T2,post,SPT,2,sym,2,1,3,5,4,9,1,0,small single,A,163.921,7.6,171.513,6,2,0,175.396,3.885
15,16,225,9409_2_1.3T2,post,SPT,2,sym,2,1,3,9,14,23,1,0,large double,A,177.508,4.3,181.803,6,1,1,184.72,2.919
16,17,241,9409_2_1.3T2,post,SPT,2,sym,2,1,3,4,0,7,2,3,small single,Control,187.814,4.4,192.227,6,2,1,196.174,3.95
17,18,239,9409_2_1.3T2,post,SPT,2,sym,2,1,3,8,17,25,1,0,large double,B,198.221,7.2,205.414,6,1,1,210.544,5.132
