,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,507,9409_2_1.3T2,post,SPT,4,sym,2,0,3,5,4,10,2,1,small single,A,0.001,6.5,6.501,6,1,0,7.853,1.354
1,2,519,9409_2_1.3T2,post,SPT,4,sym,2,0,3,2,8,10,1,0,small single,B,12.512,5.7,18.207,6,1,1,19.625,1.421
2,3,535,9409_2_1.3T2,post,SPT,4,sym,2,0,3,17,0,17,1,0,small double,Control,24.201,4.3,28.532,6,1,1,29.813,1.283
3,4,521,9409_2_1.3T2,post,SPT,4,sym,2,0,3,8,4,13,2,1,large single,B,34.523,4.0,38.503,6,2,1,40.72,2.219
4,5,517,9409_2_1.3T2,post,SPT,4,sym,2,0,3,3,5,7,2,-1,small single,B,44.514,4.9,49.409,6,1,0,54.141,4.735
5,6,513,9409_2_1.3T2,post,SPT,4,sym,2,0,3,4,19,26,2,3,large double,A,55.403,4.1,59.516,6,1,0,64.731,5.218
6,7,529,9409_2_1.3T2,post,SPT,4,sym,2,0,3,4,0,4,1,0,small single,Control,65.51,7.6,73.12,6,1,1,74.17,1.053
7,8,539,9409_2_1.3T2,post,SPT,4,sym,2,0,3,24,0,26,2,2,large double,Control,79.129,4.2,83.325,6,2,1,85.326,2.004
8,9,505,9409_2_1.3T2,post,SPT,4,sym,2,0,3,6,2,8,1,0,small single,A,89.319,4.4,93.715,6,1,1,96.216,2.504
9,10,509,9409_2_1.3T2,post,SPT,4,sym,2,0,3,4,9,14,2,1,large single,A,99.709,6.5,106.203,6,2,1,111.717,5.516
10,11,527,9409_2_1.3T2,post,SPT,4,sym,2,0,3,7,18,23,2,-2,large double,B,112.213,7.6,119.806,6,2,1,122.723,2.919
11,12,525,9409_2_1.3T2,post,SPT,4,sym,2,0,3,14,8,22,1,0,large double,B,125.817,7.0,132.81,6,,,,
12,13,531,9409_2_1.3T2,post,SPT,4,sym,2,0,3,9,0,9,1,0,large single,Control,138.805,5.6,144.432,6,1,1,145.9,1.47
13,14,533,9409_2_1.3T2,post,SPT,4,sym,2,0,3,12,0,9,2,-3,large single,Control,150.431,7.5,157.918,6,2,1,159.735,1.82
14,15,515,9409_2_1.3T2,post,SPT,4,sym,2,0,3,16,9,25,1,0,large double,A,163.929,7.6,171.505,6,2,0,176.436,4.934
15,16,511,9409_2_1.3T2,post,SPT,4,sym,2,0,3,14,2,19,2,3,small double,A,177.516,4.3,181.811,6,2,1,186.443,4.634
16,17,537,9409_2_1.3T2,post,SPT,4,sym,2,0,3,20,0,20,1,0,large double,Control,187.806,4.4,192.227,6,1,1,193.502,1.278
17,18,523,9409_2_1.3T2,post,SPT,4,sym,2,0,3,3,12,15,1,0,small double,B,198.229,7.2,205.404,6,1,1,208.104,2.702
