,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,479,9409_2_1.3T2,post,SPT,4,sym,3,0,2,6,18,26,2,2,large double,A,0.001,6.5,6.514,6,2,1,8.931,2.42
1,2,483,9409_2_1.3T2,post,SPT,4,sym,3,0,2,6,7,13,1,0,large single,B,12.508,5.7,18.203,6,1,1,20.936,2.735
2,3,487,9409_2_1.3T2,post,SPT,4,sym,3,0,2,3,15,18,1,0,small double,B,24.213,4.3,28.509,6,1,1,32.807,4.3
3,4,503,9409_2_1.3T2,post,SPT,4,sym,3,0,2,23,0,23,1,0,large double,Control,34.503,4.0,38.533,6,1,1,40.017,1.486
4,5,485,9409_2_1.3T2,post,SPT,4,sym,3,0,2,7,8,16,2,1,large single,B,44.526,4.9,49.405,6,2,1,55.102,5.699
5,6,477,9409_2_1.3T2,post,SPT,4,sym,3,0,2,7,13,20,1,0,small double,A,55.416,4.1,59.512,6,1,1,62.878,3.369
6,7,475,9409_2_1.3T2,post,SPT,4,sym,3,0,2,12,6,18,1,0,small double,A,65.506,7.6,73.115,6,1,1,77.28,4.168
7,8,497,9409_2_1.3T2,post,SPT,4,sym,3,0,2,10,0,10,1,0,large single,Control,79.109,4.2,83.321,6,1,1,84.406,1.087
8,9,493,9409_2_1.3T2,post,SPT,4,sym,3,0,2,3,0,1,2,-2,small single,Control,89.332,4.4,93.728,6,2,1,94.912,1.187
9,10,489,9409_2_1.3T2,post,SPT,4,sym,3,0,2,16,4,20,1,0,small double,B,99.738,6.5,106.215,6,1,1,108.483,2.27
10,11,491,9409_2_1.3T2,post,SPT,4,sym,3,0,2,15,9,24,1,0,large double,B,112.21,7.6,119.802,6,,,,
11,12,473,9409_2_1.3T2,post,SPT,4,sym,3,0,2,9,6,13,2,-2,large single,A,125.813,7.0,132.807,6,2,1,135.622,2.818
12,13,501,9409_2_1.3T2,post,SPT,4,sym,3,0,2,18,0,17,2,-1,small double,Control,138.801,5.6,144.427,6,2,1,146.445,2.021
13,14,499,9409_2_1.3T2,post,SPT,4,sym,3,0,2,15,0,18,2,3,small double,Control,150.422,7.5,157.931,6,2,1,159.682,1.754
14,15,471,9409_2_1.3T2,post,SPT,4,sym,3,0,2,8,5,13,1,0,large single,A,163.925,7.6,171.501,6,2,0,175.883,4.384
15,16,469,9409_2_1.3T2,post,SPT,4,sym,3,0,2,2,5,4,2,-3,small single,A,177.513,4.3,181.807,6,2,1,183.958,2.153
16,17,481,9409_2_1.3T2,post,SPT,4,sym,3,0,2,4,3,10,2,3,small single,B,187.802,4.4,192.214,6,2,1,194.998,2.786
17,18,495,9409_2_1.3T2,post,SPT,4,sym,3,0,2,7,0,6,2,-1,small single,Control,198.208,7.2,205.417,6,2,1,207.534,2.119
