,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,43,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,2,16,15,2,-3,small double,A,0.001,6.5,6.506,6,2,1,9.406,2.902
1,2,59,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,5,19,22,2,-2,large double,B,12.501,5.7,18.212,6,2,1,21.877,3.667
2,3,49,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,3,4,7,1,0,small single,B,24.206,4.3,28.502,6,1,1,32.0,3.501
3,4,71,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,23,0,20,2,-3,large double,Control,34.513,4.0,38.525,6,2,1,40.258,1.736
4,5,57,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,6,14,23,2,3,small double,B,44.526,4.9,49.414,6,2,1,52.829,3.417
5,6,39,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,5,8,13,1,0,large single,A,55.409,4.1,59.504,6,1,1,62.221,2.719
6,7,45,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,17,3,23,2,3,small double,A,65.515,7.6,73.108,6,2,1,75.507,2.402
7,8,63,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,7,0,8,2,1,small single,Control,79.102,4.2,83.331,6,2,1,85.098,1.77
8,9,69,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,18,0,18,1,0,small double,Control,89.325,4.4,93.724,6,1,1,95.337,1.615
9,10,55,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,13,5,18,1,0,small double,B,99.731,6.5,106.209,6,1,1,108.408,2.202
10,11,51,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,7,6,10,2,-3,large single,B,112.202,7.6,119.811,6,1,0,123.294,3.485
11,12,47,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,16,8,24,1,0,large double,A,125.806,7.0,132.816,6,1,1,135.816,3.004
12,13,67,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,15,0,15,1,0,small double,Control,138.81,5.6,144.421,6,1,1,145.821,1.402
13,14,61,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,3,0,3,1,0,small single,Control,150.44,7.5,157.934,6,1,1,159.192,1.263
14,15,41,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,6,9,13,2,-2,large single,A,163.928,7.6,171.51,6,2,1,175.028,3.521
15,16,37,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,5,2,7,1,0,small single,A,177.505,4.3,181.801,6,1,1,183.567,1.769
16,17,53,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,8,7,13,2,-2,large single,B,187.812,4.4,192.207,6,2,1,195.156,2.952
17,18,65,9194_1_1.3T2,pre,SPT,1,sym,2,0,2,10,0,10,1,0,large single,Control,198.201,7.2,205.429,6,1,1,206.494,1.067
