,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,553,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,7,2,9,1,0,small single,B,0.001,6.5,6.501,6,1,1,8.968,2.47
1,2,563,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,6,17,23,1,0,large double,B,12.512,5.4,17.906,6,1,1,20.489,2.586
2,3,549,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,15,4,18,2,-1,small double,A,23.917,4.4,28.312,6,1,0,30.596,2.286
3,4,567,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,8,0,8,1,0,large single,Control,34.307,5.0,39.319,6,1,1,40.386,1.069
4,5,557,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,3,9,14,2,2,large single,B,45.33,7.6,52.905,6,1,0,54.84,1.938
5,6,565,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,5,0,5,1,0,small single,Control,58.916,8.0,66.926,6,1,1,67.925,1.002
6,7,573,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,21,0,18,2,-3,large double,Control,72.919,4.1,77.032,6,2,1,78.698,1.668
7,8,559,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,13,4,14,2,-3,small double,B,83.03,4.1,87.105,6,2,1,90.12,3.018
8,9,569,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,13,0,14,2,1,large single,Control,93.115,7.4,100.525,6,2,1,102.307,1.785
9,10,547,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,2,15,17,1,0,small double,A,106.525,6.9,113.412,6,1,1,116.111,2.702
10,11,555,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,6,4,10,1,0,small single,B,119.406,7.1,126.515,6,1,1,128.949,2.436
11,12,551,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,15,8,25,2,2,large double,A,132.51,5.2,137.704,6,2,1,139.605,1.904
12,13,543,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,3,7,10,1,0,small single,A,143.715,4.3,148.011,6,1,1,150.078,2.07
13,14,561,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,8,12,20,1,0,small double,B,154.005,4.7,158.701,6,1,1,160.968,2.27
14,15,571,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,16,0,14,2,-2,small double,Control,164.711,4.3,169.035,6,2,1,170.374,1.342
15,16,541,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,3,6,8,2,-1,small single,A,175.019,7.1,182.111,6,2,1,184.028,1.919
16,17,545,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,7,5,12,1,0,large single,A,188.105,5.2,193.316,6,2,0,195.883,2.569
17,18,575,9409_1_1.3T2,pre,SPT,4,sym,1,0,4,25,0,26,2,1,large double,Control,199.31,4.3,203.624,6,2,1,205.241,1.622
