,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,435,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,6,8,15,2,1,large single,A,0.001,6.5,6.505,6,1,0,8.306,1.805
1,2,455,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,19,8,28,2,1,large double,B,12.516,5.7,18.21,6,2,1,20.51,2.304
2,3,447,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,9,5,14,1,0,large single,B,24.204,4.3,28.516,6,1,1,30.433,1.92
3,4,461,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,11,0,11,1,0,large single,Control,34.511,4.0,38.525,6,1,1,39.774,1.252
4,5,453,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,3,19,21,2,-1,large double,B,44.518,4.9,49.412,6,2,1,52.828,3.418
5,6,433,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,4,2,6,1,0,small single,A,55.407,4.1,59.502,6,1,1,61.32,1.82
6,7,459,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,6,0,6,1,0,small single,Control,65.513,7.6,73.124,6,1,1,74.24,1.119
7,8,467,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,22,0,20,2,-2,large double,Control,79.134,4.2,83.329,6,2,1,84.813,1.486
8,9,439,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,3,16,21,2,2,small double,A,89.325,4.4,93.702,6,2,1,95.904,2.205
9,10,437,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,7,9,17,2,1,large single,A,99.713,6.5,106.206,6,2,1,109.189,2.985
10,11,449,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,9,8,17,1,0,large single,B,112.201,7.6,119.81,6,1,1,122.942,3.135
11,12,445,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,2,3,6,2,1,small single,B,125.804,7.0,132.813,6,2,1,136.129,3.318
12,13,441,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,15,7,19,2,-3,large double,A,138.808,5.6,144.402,6,2,1,147.585,3.186
13,14,457,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,2,0,1,2,-1,small single,Control,150.413,7.5,157.924,6,2,1,159.073,1.152
14,15,463,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,14,0,14,1,0,small double,Control,163.934,7.6,171.526,6,1,1,172.842,1.319
15,16,451,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,12,7,19,1,0,small double,B,177.52,4.3,181.816,6,1,1,185.031,3.218
16,17,465,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,19,0,19,1,0,small double,Control,187.809,4.4,192.222,6,1,1,193.639,1.419
17,18,443,9409_1_1.3T2,pre,SPT,4,sym,4,0,1,9,17,26,1,0,large double,A,198.233,7.2,205.408,6,1,1,208.508,3.102
