,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,129,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,18,2,22,2,2,small double,B,0.001,6.5,6.503,6,2,1,8.803,2.303
1,2,121,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,2,7,8,2,-1,small single,B,12.514,5.4,17.908,6,2,1,22.689,4.783
2,3,113,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,5,7,12,1,0,large single,A,23.902,4.4,28.315,6,1,1,31.465,3.154
3,4,143,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,25,0,22,2,-3,large double,Control,34.309,5.0,39.32,6,2,1,40.921,1.603
4,5,127,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,3,14,17,1,0,small double,B,45.33,7.6,52.907,6,1,1,55.573,2.668
5,6,137,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,13,0,13,1,0,large single,Control,58.901,8.0,66.926,6,1,1,68.76,1.836
6,7,135,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,8,0,10,2,2,large single,Control,72.921,4.1,77.037,6,2,1,79.782,2.747
7,8,123,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,4,6,10,1,0,small single,B,83.029,4.1,87.107,6,1,1,89.573,2.469
8,9,139,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,16,0,16,1,0,small double,Control,93.101,7.4,100.533,6,1,1,101.778,1.247
9,10,111,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,7,3,12,2,2,small single,A,106.52,6.9,113.414,6,2,1,116.346,2.935
10,11,125,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,9,3,12,1,0,large single,B,119.408,7.1,126.501,6,1,1,129.118,2.62
11,12,109,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,6,3,9,1,0,small single,A,132.512,5.2,137.707,6,1,1,139.674,1.97
12,13,117,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,5,14,22,2,3,small double,A,143.701,4.3,148.014,6,2,1,151.246,3.235
13,14,131,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,16,7,25,2,2,large double,B,154.007,4.7,158.703,6,2,1,162.185,3.484
14,15,133,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,5,0,6,2,1,small single,Control,164.713,4.3,169.026,6,2,1,170.41,1.388
15,16,115,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,12,5,17,1,0,small double,A,175.02,7.1,182.113,6,1,1,184.613,2.502
16,17,119,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,5,18,24,2,1,large double,A,188.107,5.2,193.302,6,,,,
17,18,141,9194_1_1.3T2,pre,SPT,1,sym,4,0,4,21,0,21,1,0,large double,Control,199.313,4.3,203.639,6,1,1,205.043,1.407
