,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,80,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,4,12,15,1,-1,small double,A,0.001,6.5,6.502,6,1,1,9.579,3.081
1,2,90,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,4,8,13,2,1,large single,B,12.512,5.7,18.206,6,2,1,21.68,3.476
2,3,96,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,17,8,23,1,-2,large double,B,24.234,4.3,28.513,6,1,1,33.986,5.476
3,4,108,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,24,0,25,2,1,large double,Control,34.507,4.0,38.542,6,2,1,40.729,2.19
4,5,92,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,13,2,14,1,-1,small double,B,44.537,4.9,49.41,6,1,1,53.532,4.124
5,6,76,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,4,5,6,1,-3,small single,A,55.403,4.1,59.517,6,,,,
6,7,100,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,9,0,7,1,-2,large single,Control,65.51,7.6,73.119,6,1,1,77.155,4.038
7,8,104,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,17,0,19,2,2,small double,Control,79.13,4.2,83.341,6,2,1,85.534,2.195
8,9,84,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,6,19,28,2,3,large double,A,89.32,4.4,93.716,6,2,1,97.859,4.146
9,10,74,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,2,6,7,1,-1,small single,A,99.71,6.5,106.203,6,1,1,110.673,4.472
10,11,86,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,5,3,10,2,2,small single,B,112.214,7.6,119.807,6,2,1,123.278,3.474
11,12,94,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,4,18,23,2,1,large double,B,125.801,7.0,132.81,6,2,1,138.234,5.426
12,13,102,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,12,0,10,1,-2,large single,Control,138.821,5.6,144.432,6,1,1,147.236,2.807
13,14,88,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,8,2,7,1,-3,small single,B,150.426,7.5,157.902,6,1,1,161.824,3.924
14,15,78,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,9,4,16,2,3,large single,A,163.913,7.6,171.506,6,2,1,176.211,4.708
15,16,82,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,14,9,25,2,2,large double,A,177.516,4.3,181.812,6,,,,
16,17,106,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,20,0,19,1,-1,large double,Control,187.806,4.4,192.238,6,1,1,194.327,2.091
17,18,98,9194_1_1.3T2,pre,SPT,1,grid,2,0,3,4,0,7,2,3,small single,Control,198.23,7.2,205.44,6,2,1,208.158,2.721
