,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,3,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,8,6,14,1,0,large single,A,0.001,6.5,6.506,6,1,1,9.488,2.985
1,2,19,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,2,17,20,2,1,small double,B,12.515,5.7,18.21,6,2,1,21.542,3.335
2,3,15,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,5,9,14,1,0,large single,B,24.204,4.3,28.517,6,1,1,31.666,3.152
3,4,29,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,11,0,13,2,2,large single,Control,34.511,4.0,38.547,6,2,1,40.54,1.995
4,5,21,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,13,9,22,1,0,large double,B,44.516,4.9,49.413,6,2,0,54.477,5.066
5,6,11,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,19,7,23,2,-3,large double,A,55.407,4.1,59.503,6,2,1,64.949,5.449
6,7,27,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,6,0,4,2,-2,small single,Control,65.513,7.6,73.122,6,2,1,74.873,1.754
7,8,25,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,2,0,2,1,0,small single,Control,79.116,4.2,83.345,6,1,1,85.262,1.92
8,9,7,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,13,6,20,2,1,small double,A,89.322,4.4,93.702,6,2,1,96.918,3.219
9,10,1,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,2,4,7,2,1,small single,A,99.713,6.5,106.207,6,2,1,107.941,1.737
10,11,13,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,3,2,5,1,0,small single,B,112.201,7.6,119.81,6,1,1,122.143,2.335
11,12,17,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,8,9,19,2,2,large single,B,125.804,7.0,132.814,6,2,1,135.297,2.485
12,13,9,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,5,17,22,1,0,large double,A,138.808,5.6,144.403,6,1,1,147.934,3.534
13,14,33,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,19,0,19,1,0,small double,Control,150.413,7.5,157.922,6,1,1,159.474,1.557
14,15,35,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,22,0,21,2,-1,large double,Control,163.932,7.6,171.525,6,2,1,173.425,1.903
15,16,23,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,9,18,26,2,-1,large double,B,177.52,4.3,181.816,6,1,0,185.248,3.434
16,17,31,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,14,0,14,1,0,small double,Control,187.81,4.4,192.221,6,1,1,193.839,1.621
17,18,5,9063_1_1.3T2,pre,NCC,1,sym,3,0,1,9,7,16,1,0,large single,A,198.232,7.2,205.409,6,1,1,208.192,2.786
