,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,42,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,6,9,14,1,-1,large single,A,0.001,6.5,6.501,6,2,0,10.83,4.332
1,2,52,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,7,6,12,1,-1,large single,B,12.512,5.7,18.207,6,1,1,21.23,3.026
2,3,70,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,18,0,15,1,-3,small double,Control,24.201,4.3,28.55,6,1,1,31.17,2.623
3,4,50,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,3,4,9,2,2,small single,B,34.524,4.0,38.503,6,1,0,42.225,3.725
4,5,54,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,8,7,14,1,-1,large single,B,44.514,4.9,49.41,6,1,1,55.017,5.61
5,6,38,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,5,2,9,2,2,small single,A,55.404,4.1,59.516,6,2,1,62.787,3.275
6,7,40,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,5,8,11,1,-2,large single,A,65.51,7.6,73.102,6,1,1,77.242,4.143
7,8,72,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,23,0,26,2,3,large double,Control,79.113,4.2,83.326,6,2,1,86.085,2.762
8,9,64,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,7,0,10,2,3,small single,Control,89.319,4.4,93.745,6,2,1,95.786,2.044
9,10,56,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,13,5,20,2,2,small double,B,99.726,6.5,106.204,6,2,1,110.362,4.16
10,11,60,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,5,19,22,1,-2,large double,B,112.214,7.6,119.806,6,,,,
11,12,48,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,16,8,26,2,2,large double,A,125.8,7.0,132.81,6,2,1,135.454,2.646
12,13,68,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,15,0,16,2,1,small double,Control,138.821,5.6,144.444,6,2,1,146.772,2.331
13,14,66,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,10,0,9,1,-1,large single,Control,150.427,7.5,157.921,6,1,1,160.744,2.826
14,15,44,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,2,16,15,1,-3,small double,A,163.93,7.6,171.506,6,1,1,174.581,3.078
15,16,58,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,6,14,22,2,2,small double,B,177.516,4.3,181.812,6,2,1,187.685,5.876
16,17,62,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,3,0,5,2,2,small single,Control,187.806,4.4,192.233,6,2,1,194.338,2.108
17,18,46,9194_1_1.3T2,pre,SPT,1,grid,4,0,2,17,3,19,1,-1,small double,A,198.23,7.2,205.406,6,1,1,210.613,5.21
