,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,110,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,6,3,8,1,-1,small single,A,0.001,6.5,6.511,6,1,1,10.831,4.323
1,2,128,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,3,14,20,2,3,small double,B,12.505,5.7,18.216,6,2,1,22.738,4.527
2,3,136,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,8,0,9,2,1,large single,Control,24.207,4.3,28.522,6,2,1,31.932,3.415
3,4,124,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,4,6,7,1,-3,small single,B,34.533,4.0,38.513,6,,,,
4,5,122,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,2,7,11,2,2,small single,B,44.507,4.9,49.402,6,2,1,53.463,4.066
5,6,120,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,5,18,20,1,-3,large double,A,55.413,4.1,59.509,6,1,1,63.218,3.712
6,7,142,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,21,0,18,1,-3,large double,Control,65.519,7.6,73.128,6,1,1,75.37,2.245
7,8,138,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,13,0,16,2,3,large single,Control,79.123,4.2,83.317,6,2,1,85.381,2.067
8,9,114,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,5,7,9,1,-3,large single,A,89.33,4.4,93.708,6,1,1,97.297,3.592
9,10,116,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,12,5,18,2,1,small double,A,99.702,6.5,106.212,6,2,1,112.123,5.914
10,11,126,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,9,3,11,1,-1,large single,B,112.223,7.6,119.815,6,2,0,124.637,4.824
11,12,112,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,7,3,11,2,1,small single,A,125.81,7.0,132.802,6,1,0,136.375,3.575
12,13,144,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,25,0,24,1,-1,large double,Control,138.83,5.6,144.424,6,1,1,147.067,2.646
13,14,140,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,16,0,18,2,2,small double,Control,150.435,7.5,157.927,6,2,1,159.808,1.884
14,15,132,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,16,7,21,1,-2,large double,B,163.922,7.6,171.514,6,,,,
15,16,130,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,18,2,21,2,1,small double,B,177.525,4.3,181.804,6,2,1,184.563,2.762
16,17,134,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,5,0,4,1,-1,small single,Control,187.832,4.4,192.242,6,1,1,194.013,1.773
17,18,118,9228_1_1.3T2,pre,VNT,1,grid,2,0,4,5,14,20,2,1,small double,A,198.222,7.2,205.414,6,2,1,210.352,4.94
