,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,507,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,5,4,10,2,1,small single,A,0.001,6.5,6.509,6,1,0,8.143,1.636
1,2,519,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,2,8,10,1,0,small single,B,12.503,5.7,18.214,6,1,1,19.698,1.487
2,3,535,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,17,0,17,1,0,small double,Control,24.208,4.3,28.521,6,2,0,29.871,1.353
3,4,521,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,8,4,13,2,1,large single,B,34.532,4.0,38.51,6,2,1,41.461,2.954
4,5,517,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,3,5,7,2,-1,small single,B,44.505,4.9,49.416,6,1,0,52.283,2.869
5,6,513,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,4,19,26,2,3,large double,A,55.41,4.1,59.507,6,1,0,61.84,2.336
6,7,529,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,4,0,4,1,0,small single,Control,65.501,7.6,73.127,6,1,1,74.311,1.186
7,8,539,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,24,0,26,2,2,large double,Control,79.121,4.2,83.334,6,2,1,85.05,1.719
8,9,505,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,6,2,8,1,0,small single,A,89.328,4.4,93.706,6,2,0,95.623,1.92
9,10,509,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,4,9,14,2,1,large single,A,99.717,6.5,106.21,6,1,0,108.544,2.336
10,11,527,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,7,18,23,2,-2,large double,B,112.204,7.6,119.813,6,2,1,123.213,3.402
11,12,525,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,14,8,22,1,0,large double,B,125.808,7.0,132.801,6,1,1,135.634,2.835
12,13,531,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,9,0,9,1,0,large single,Control,138.812,5.6,144.425,6,1,1,145.673,1.251
13,14,533,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,12,0,9,2,-3,large single,Control,150.434,7.5,157.927,6,2,1,160.393,2.469
14,15,515,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,16,9,25,1,0,large double,A,163.921,7.6,171.513,6,2,0,174.279,2.769
15,16,511,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,14,2,19,2,3,small double,A,177.507,4.3,181.802,6,2,1,184.12,2.32
16,17,537,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,20,0,20,1,0,large double,Control,187.814,4.4,192.226,6,1,1,194.209,1.985
17,18,523,9409_1_1.3T2,pre,SPT,4,sym,2,0,3,3,12,15,1,0,small double,B,198.221,7.2,205.413,6,1,1,208.762,3.351
