,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,12,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,19,7,28,2,2,large double,A,0.001,6.5,6.509,6,2,1,9.313,2.806
1,2,16,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,5,9,12,1,-2,large single,B,12.52,5.7,18.215,6,1,1,21.256,3.044
2,3,28,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,6,0,5,1,-1,small single,Control,24.226,4.3,28.52,6,1,1,31.691,3.174
3,4,22,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,13,9,20,1,-2,large double,B,34.531,4.0,38.511,6,2,0,42.203,3.695
4,5,14,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,3,2,6,2,1,small single,B,44.522,4.9,49.401,6,2,1,52.541,3.144
5,6,8,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,13,6,18,1,-1,small double,A,55.411,4.1,59.507,6,2,0,64.397,4.892
6,7,6,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,9,7,19,2,3,large single,A,65.518,7.6,73.111,6,,,,
7,8,36,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,22,0,21,1,-1,large double,Control,79.105,4.2,83.336,6,1,1,84.99,1.657
8,9,32,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,14,0,15,2,1,small double,Control,89.329,4.4,93.722,6,2,1,95.352,1.633
9,10,2,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,2,4,3,1,-3,small single,A,99.717,6.5,106.211,6,1,1,109.098,2.89
10,11,20,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,2,17,21,2,2,small double,B,112.205,7.6,119.814,6,2,1,123.772,3.961
11,12,10,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,5,17,23,2,1,large double,A,125.806,7.0,132.801,6,1,0,138.492,5.693
12,13,30,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,11,0,12,2,1,large single,Control,138.812,5.6,144.426,6,2,1,146.579,2.156
13,14,34,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,19,0,17,1,-2,small double,Control,150.434,7.5,157.926,6,1,1,160.184,2.26
14,15,24,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,9,18,30,2,3,large double,B,163.92,7.6,171.513,6,2,1,176.44,4.93
15,16,18,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,8,9,15,1,-2,large single,B,177.524,4.3,181.803,6,1,1,186.373,4.572
16,17,26,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,2,0,5,2,3,small single,Control,187.813,4.4,192.225,6,2,1,193.397,1.174
17,18,4,9228_1_1.3T2,pre,VNT,1,grid,4,0,1,8,6,12,1,-2,large single,A,198.219,7.2,205.412,6,1,1,210.118,4.708
