,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,479,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,6,18,26,2,2,large double,A,0.001,6.5,6.511,6,1,0,8.345,1.837
1,2,483,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,6,7,13,1,0,large single,B,12.506,5.7,18.217,6,2,0,21.267,3.052
2,3,487,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,3,15,18,1,0,small double,B,24.211,4.3,28.507,6,1,1,33.371,4.867
3,4,503,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,23,0,23,1,0,large double,Control,34.501,4.0,38.531,6,1,1,39.78,1.252
4,5,485,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,7,8,16,2,1,large single,B,44.525,4.9,49.403,6,1,0,52.269,2.869
5,6,477,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,7,13,20,1,0,small double,A,55.413,4.1,59.509,6,1,1,62.575,3.068
6,7,475,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,12,6,18,1,0,small double,A,65.504,7.6,73.113,6,2,0,75.429,2.319
7,8,497,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,10,0,10,1,0,large single,Control,79.107,4.2,83.32,6,1,1,84.387,1.07
8,9,493,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,3,0,1,2,-2,small single,Control,89.33,4.4,93.726,6,2,1,95.709,1.985
9,10,489,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,16,4,20,1,0,small double,B,99.72,6.5,106.213,6,1,1,108.297,2.087
10,11,491,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,15,9,24,1,0,large double,B,112.207,7.6,119.817,6,1,1,122.6,2.786
11,12,473,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,9,6,13,2,-2,large single,A,125.811,7.0,132.804,6,2,1,136.286,3.484
12,13,501,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,18,0,17,2,-1,small double,Control,138.815,5.6,144.427,6,2,1,145.826,1.401
13,14,499,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,15,0,18,2,3,small double,Control,150.42,7.5,157.93,6,2,1,159.496,1.569
14,15,471,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,8,5,13,1,0,large single,A,163.924,7.6,171.515,6,1,1,174.132,2.62
15,16,469,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,2,5,4,2,-3,small single,A,177.509,4.3,181.805,6,2,1,184.772,2.971
16,17,481,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,4,3,10,2,3,small single,B,187.816,4.4,192.212,6,2,1,195.478,3.268
17,18,495,9409_1_1.3T2,pre,SPT,4,sym,3,0,2,7,0,6,2,-1,small single,Control,198.206,7.2,205.441,6,2,1,207.298,1.86
