,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,12,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,19,7,28,2,2,large double,A,0.001,6.5,6.512,6,2,1,7.807,1.298
1,2,16,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,5,9,12,1,-2,large single,B,12.522,5.7,18.216,6,2,0,19.774,1.561
2,3,28,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,6,0,5,1,-1,small single,Control,24.21,4.3,28.532,6,1,1,29.91,1.381
3,4,22,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,13,9,20,1,-2,large double,B,34.533,4.0,38.513,6,2,0,39.761,1.25
4,5,14,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,3,2,6,2,1,small single,B,44.507,4.9,49.402,6,2,1,50.542,1.142
5,6,8,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,13,6,18,1,-1,small double,A,55.413,4.1,59.509,6,2,0,61.002,1.495
6,7,6,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,9,7,19,2,3,large single,A,65.503,7.6,73.112,6,2,1,74.092,0.983
7,8,36,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,22,0,21,1,-1,large double,Control,79.123,4.2,83.318,6,1,1,86.094,2.779
8,9,32,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,14,0,15,2,1,small double,Control,89.329,4.4,93.724,6,2,1,95.298,1.577
9,10,2,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,2,4,3,1,-3,small single,A,99.723,6.5,106.213,6,1,1,108.134,1.924
10,11,20,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,2,17,21,2,2,small double,B,112.207,7.6,119.816,6,2,1,121.168,1.354
11,12,10,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,5,17,23,2,1,large double,A,125.81,7.0,132.803,6,2,1,133.831,1.03
12,13,30,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,11,0,12,2,1,large single,Control,138.814,5.6,144.424,6,2,1,145.797,1.375
13,14,34,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,19,0,17,1,-2,small double,Control,150.436,7.5,157.928,6,1,1,159.67,1.745
14,15,24,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,9,18,30,2,3,large double,B,163.923,7.6,171.515,6,2,1,173.162,1.649
15,16,18,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,8,9,15,1,-2,large single,B,177.51,4.3,181.805,6,1,1,184.414,2.612
16,17,26,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,2,0,5,2,3,small single,Control,187.833,4.4,192.228,6,2,1,193.465,1.239
17,18,4,9063_1_1.3T2,pre,NCC,1,grid,4,0,1,8,6,12,1,-2,large single,A,198.221,7.2,205.416,6,2,0,206.44,1.027
