,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,507,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,5,4,10,2,1,small single,A,0.001,6.5,6.501,6,2,1,8.951,2.453
1,2,519,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,2,8,10,1,0,small single,B,12.512,5.7,18.206,6,1,1,20.074,1.87
2,3,535,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,17,0,17,1,0,small double,Control,24.217,4.3,28.532,6,1,1,30.18,1.65
3,4,521,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,8,4,13,2,1,large single,B,34.525,4.0,38.502,6,2,1,40.986,2.486
4,5,517,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,3,5,7,2,-1,small single,B,44.514,4.9,49.409,6,2,1,51.875,2.469
5,6,513,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,4,19,26,2,3,large double,A,55.403,4.1,59.515,6,2,1,61.633,2.12
6,7,529,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,4,0,4,1,0,small single,Control,65.51,7.6,73.132,6,1,1,75.052,1.923
7,8,539,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,24,0,26,2,2,large double,Control,79.13,4.2,83.335,6,2,1,85.542,2.209
8,9,505,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,6,2,8,1,0,small single,A,89.32,4.4,93.716,6,1,1,95.799,2.086
9,10,509,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,4,9,14,2,1,large single,A,99.709,6.5,106.203,6,2,1,109.219,3.019
10,11,527,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,7,18,23,2,-2,large double,B,112.213,7.6,119.807,6,2,1,122.506,2.701
11,12,525,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,14,8,22,1,0,large double,B,125.817,7.0,132.81,6,1,1,136.458,3.651
12,13,531,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,9,0,9,1,0,large single,Control,138.804,5.6,144.434,6,1,1,145.965,1.534
13,14,533,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,12,0,9,2,-3,large single,Control,150.441,7.5,157.936,6,2,1,160.834,2.9
14,15,515,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,16,9,25,1,0,large double,A,163.942,7.6,171.505,6,1,1,173.622,2.12
15,16,511,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,14,2,19,2,3,small double,A,177.516,4.3,181.812,6,2,1,184.145,2.335
16,17,537,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,20,0,20,1,0,large double,Control,187.806,4.4,192.219,6,1,1,194.034,1.818
17,18,523,9181_1_1.3T2,pre,VNT,4,sym,3,0,3,3,12,15,1,0,small double,B,198.23,7.2,205.406,6,1,1,207.655,2.252
