,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,75,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,4,5,9,1,0,small single,A,0.001,6.5,6.509,6,1,1,8.21,1.703
1,2,89,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,4,8,12,1,0,large single,B,12.503,5.7,18.214,6,1,1,21.979,3.768
2,3,101,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,12,0,10,2,-2,large single,Control,24.208,4.3,28.519,6,2,1,30.037,1.521
3,4,95,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,17,8,28,2,3,large double,B,34.53,4.0,38.51,6,2,1,41.093,2.585
4,5,87,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,8,2,9,2,-1,small single,B,44.504,4.9,49.416,6,2,1,51.433,2.02
5,6,81,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,14,9,23,1,0,large double,A,55.411,4.1,59.506,6,2,0,64.137,4.633
6,7,99,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,9,0,11,2,2,large single,Control,65.5,7.6,73.148,6,2,1,74.959,1.814
7,8,107,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,24,0,24,1,0,large double,Control,79.119,4.2,83.332,6,1,1,84.833,1.503
8,9,79,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,4,12,16,1,0,small double,A,89.326,4.4,93.706,6,1,1,96.139,2.435
9,10,73,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,2,6,10,2,2,small single,A,99.717,6.5,106.21,6,2,1,108.494,2.286
10,11,85,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,5,3,11,2,3,small single,B,112.205,7.6,119.814,6,2,1,122.38,2.568
11,12,91,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,13,2,15,1,0,small double,B,125.808,7.0,132.801,6,1,1,135.2,2.402
12,13,103,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,17,0,16,2,-1,small double,Control,138.811,5.6,144.421,6,2,1,146.256,1.837
13,14,105,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,20,0,20,1,0,large double,Control,150.433,7.5,157.925,6,1,1,159.276,1.354
14,15,83,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,6,19,22,2,-3,large double,A,163.921,7.6,171.513,6,2,1,174.928,3.417
15,16,77,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,9,4,10,2,-3,large single,A,177.507,4.3,181.803,6,2,1,183.919,2.119
16,17,97,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,4,0,4,1,0,small single,Control,187.813,4.4,192.23,6,1,1,193.826,1.598
17,18,93,9063_1_1.3T2,pre,NCC,1,sym,4,0,3,4,18,22,1,0,large double,B,198.219,7.2,205.413,6,1,1,209.561,4.15
